PAN, Partido dos Aposentados da Nação
PC do B, Partido Comunista do Brasil
PCB, Partido Comunista Brasileiro
PCO, Partido da Causa Operária
PDT, Partido Democrático Trabalhista
PFL, Partido da Frente Liberal
PHS, Partido Humanista da Solidariedade
PL, Partido Liberal
PMDB, Partido do Movimento Democrático Brasileiro
PMN, Partido da Mobilização Nacional
PP, Partido Progressista
PPS, Partido Popular Socialista
PRONA, Partido de Reedificação da Ordem Nacional
PRP, Partido Republicano Progressista
PRTB, Partido Renovador Trabalhista Brasileiro
PSB, Partido Socialista Brasileiro
PSC, Partido Social Cristão
PSDB, Partido da Social Democracia Brasileira
PSDC, Partido Social Democrata Cristão
PSL, Partido Social Liberal
PSTU, Partido Socialista dos Trabalhadores Unificado
PT, Partido dos Trabalhadores
PTB, Partido Trabalhista Brasileiro
PTC, Partido Trabalhista Cristão
PT do B, Partido Trabalhista do Brasil
PTN, Partido Trabalhista Nacional
PV, Partido Verde 
